adduser	3.118ubuntu5
libncursesw6:amd64	6.3-2ubuntu0.2
libnettle8:amd64	3.7.3-1build2
libnghttp2-14:amd64	1.43.0-1ubuntu0.4
libnsl-dev:amd64	1.3.0-2build2
libnsl2:amd64	1.3.0-2build2
libnspr4:amd64	2:4.35-0ubuntu0.22.04.1
libnspr4-dev	2:4.35-0ubuntu0.22.04.1
libnss3:amd64	2:3.98-0ubuntu0.22.04.4
libnss3-dev:amd64	2:3.98-0ubuntu0.22.04.4
libogg0:amd64	1.3.5-0ubuntu3
libopengl-dev:amd64	1.4.0-1
libopengl0:amd64	1.4.0-1
libopus0:amd64	1.3.1-0.1build2
libp11-kit0:amd64	0.24.0-6build1
libpam-modules:amd64	1.4.0-11ubuntu2.7
libpam-modules-bin	1.4.0-11ubuntu2.7
libpam-runtime	1.4.0-11ubuntu2.7
libpam0g:amd64	1.4.0-11ubuntu2.7
libpciaccess-dev:amd64	0.16-3
libpciaccess0:amd64	0.16-3
libpcre16-3:amd64	2:8.39-13ubuntu0.22.04.1
libpcre2-16-0:amd64	10.39-3ubuntu0.1
libpcre2-32-0:amd64	10.39-3ubuntu0.1
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre2-dev:amd64	10.39-3ubuntu0.1
libpcre2-posix3:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libpcre3-dev:amd64	2:8.39-13ubuntu0.22.04.1
libpcre32-3:amd64	2:8.39-13ubuntu0.22.04.1
libpcrecpp0v5:amd64	2:8.39-13ubuntu0.22.04.1
libperl5.34:amd64	5.34.0-3ubuntu1.8
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpthread-stubs0-dev:amd64	0.4-1build2
libpulse-dev:amd64	1:15.99.1+dfsg1-1ubuntu2.2
libpulse-mainloop-glib0:amd64	1:15.99.1+dfsg1-1ubuntu2.2
libpulse0:amd64	1:15.99.1+dfsg1-1ubuntu2.2
libpython3-stdlib:amd64	3.10.6-1~22.04.1
libpython3.10-minimal:amd64	3.10.12-1~22.04.17
libpython3.10-stdlib:amd64	3.10.12-1~22.04.17
libquadmath0:amd64	12.3.0-1ubuntu1~22.04.3
libreadline8:amd64	8.1.2-1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu3~22.04.1
libselinux1:amd64	3.3-1build2
libselinux1-dev:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsensors-config	1:3.6.0-7ubuntu1
libsensors5:amd64	1:3.6.0-7ubuntu1
libsepol-dev:amd64	3.3-1build1
libsepol2:amd64	3.3-1build1
libsmartcols1:amd64	2.37.2-4ubuntu3.5
libsndfile1:amd64	1.0.31-2ubuntu0.2
libsqlite3-0:amd64	3.37.2-2ubuntu0.7
libss2:amd64	1.46.5-2ubuntu1.2
libssh-4:amd64	0.9.6-2ubuntu0.22.04.8
libssl3:amd64	3.0.2-0ubuntu1.26
libstdc++-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libstdc++6:amd64	12.3.0-1ubuntu1~22.04.3
libsystemd0:amd64	249.11-0ubuntu3.22
libtasn1-6:amd64	4.18.0-4ubuntu0.2
libtinfo6:amd64	6.3-2ubuntu0.2
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:amd64	1.3.2-2ubuntu0.1
libtirpc3:amd64	1.3.2-2ubuntu0.1
libtsan0:amd64	11.4.0-1ubuntu1~22.04.3
libubsan1:amd64	12.3.0-1ubuntu1~22.04.3
libudev-dev:amd64	249.11-0ubuntu3.22
libudev1:amd64	249.11-0ubuntu3.22
libunistring2:amd64	1.0-1
libuuid1:amd64	2.37.2-4ubuntu3.6
libvorbis0a:amd64	1.3.7-1build2
libvorbisenc2:amd64	1.3.7-1build2
libwayland-client0:amd64	1.20.0-1ubuntu0.1
libwayland-server0:amd64	1.20.0-1ubuntu0.1
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-dev:amd64	2:1.7.5-1ubuntu0.3
libx11-xcb1:amd64	2:1.7.5-1ubuntu0.3
libxau-dev:amd64	1:1.0.9-1build5
libxau6:amd64	1:1.0.9-1build5
libxcb-dri2-0:amd64	1.14-3ubuntu3
libxcb-dri3-0:amd64	1.14-3ubuntu3
libxcb-glx0:amd64	1.14-3ubuntu3
libxcb-present0:amd64	1.14-3ubuntu3
libxcb-randr0:amd64	1.14-3ubuntu3
libxcb-shm0:amd64	1.14-3ubuntu3
libxcb-sync1:amd64	1.14-3ubuntu3
libxcb-xfixes0:amd64	1.14-3ubuntu3
libxcb1:amd64	1.14-3ubuntu3
libxcb1-dev:amd64	1.14-3ubuntu3
libxcomposite-dev:amd64	1:0.4.5-1build2
libxcomposite1:amd64	1:0.4.5-1build2
libxcursor-dev:amd64	1:1.2.0-2build4
libxcursor1:amd64	1:1.2.0-2build4
libxdamage-dev:amd64	1:1.1.5-2build2
libxdamage1:amd64	1:1.1.5-2build2
libxdmcp-dev:amd64	1:1.1.3-0ubuntu5
libxdmcp6:amd64	1:1.1.3-0ubuntu5
libxext-dev:amd64	2:1.3.4-1build1
libxext6:amd64	2:1.3.4-1build1
libxfixes-dev:amd64	1:6.0.0-1
libxfixes3:amd64	1:6.0.0-1
libxi-dev:amd64	2:1.8-1build1
libxi6:amd64	2:1.8-1build1
libxml2:amd64	2.9.13+dfsg-1ubuntu0.12
libxrandr-dev:amd64	2:1.5.2-1build1
libxrandr2:amd64	2:1.5.2-1build1
libxrender-dev:amd64	1:0.9.10-1build4
libxrender1:amd64	1:0.9.10-1build4
libxshmfence1:amd64	1.3-1build4
libxtst-dev:amd64	2:1.2.3-1build4
libxtst6:amd64	2:1.2.3-1build4
libxxf86vm1:amd64	1:1.1.4-1build3
libxxhash0:amd64	0.8.1-1
libzstd1:amd64	1.4.8+dfsg-3build1
linux-libc-dev:amd64	5.15.0-191.201
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
lto-disabled-list	24
make	4.3-4.1build1
mawk	1.3.4.20200120-3
media-types	7.0.0
mount	2.37.2-4ubuntu3.5
ncurses-base	6.3-2ubuntu0.2
ncurses-bin	6.3-2ubuntu0.2
openssl	3.0.2-0ubuntu1.29
passwd	1:4.8.1-2ubuntu2.2
patch	2.7.6-7build2
perl	5.34.0-3ubuntu1.8
perl-base	5.34.0-3ubuntu1.8
perl-modules-5.34	5.34.0-3ubuntu1.8
pkg-config	0.29.2-1ubuntu3
procps	2:3.3.17-6ubuntu2.1
python3	3.10.6-1~22.04.1
python3-distutils	3.10.8-1~22.04
python3-lib2to3	3.10.8-1~22.04
python3-minimal	3.10.6-1~22.04.1
python3-pip	22.0.2+dfsg-1ubuntu0.7
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-wheel	0.37.1-2ubuntu0.22.04.1
python3.10	3.10.12-1~22.04.17
python3.10-minimal	3.10.12-1~22.04.17
readline-common	8.1.2-1
rpcsvc-proto	1.4.2-0ubuntu6
sed	4.8-1ubuntu2.1
sensible-utils	0.0.17
sudo	1.9.9-1ubuntu2.6
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.6
ubuntu-keyring	2021.03.26
unzip	6.0-26ubuntu3.2
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.5
uuid-dev:amd64	2.37.2-4ubuntu3.6
x11-common	1:7.7+23ubuntu2
x11proto-dev	2021.5-1
xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1
xz-utils	5.2.5-2ubuntu1.1
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2
